GCF_000657115	NZ_KK325241
GCF_000657115	NZ_KK325242
GCF_000657115	NZ_KK325243
GCF_000657115	NZ_KK325244
GCF_000657115	NZ_KK325245
GCF_000657115	NZ_KK325246
GCF_000657115	NZ_KK325247
GCF_000657115	NZ_KK325249
GCF_000657115	NZ_KK325253
GCF_000657115	NZ_KK325254
GCF_000657115	NZ_KK325256
GCF_000657115	NZ_KK325257
GCF_000657115	NZ_KK325258
GCF_000657115	NZ_KK325260
GCF_000657115	NZ_KK325261
GCF_000657115	NZ_KK325263
GCF_000657115	NZ_KK325264
GCF_000657135	NZ_KK325267
GCF_000657135	NZ_KK325268
GCF_000657135	NZ_KK325269
GCF_000657135	NZ_KK325270
GCF_000657135	NZ_KK325271
GCF_000657135	NZ_KK325272
GCF_000657135	NZ_KK325273
GCF_000657135	NZ_KK325274
GCF_000657135	NZ_KK325275
GCF_000657135	NZ_KK325276
GCF_000657135	NZ_KK325277
GCF_000657135	NZ_KK325278
GCF_000657135	NZ_KK325279
GCF_000657135	NZ_KK325280
GCF_000657135	NZ_KK325282
GCF_000657135	NZ_KK325283
GCF_000657135	NZ_KK325284
GCF_000657135	NZ_KK325285
GCF_000657155	NZ_KK325287
GCF_000657155	NZ_KK325290
GCF_000657155	NZ_KK325291
GCF_000657155	NZ_KK325292
GCF_000657155	NZ_KK325293
GCF_000657155	NZ_KK325294
GCF_000657155	NZ_KK325297
GCF_000657155	NZ_KK325298
GCF_000657155	NZ_KK325299
GCF_000657155	NZ_KK325301
GCF_000657155	NZ_KK325302
GCF_000657155	NZ_KK325306
GCF_000657155	NZ_KK325307
GCF_000657155	NZ_KK325308
GCF_000657155	NZ_KK325310
GCF_000657155	NZ_KK325312
GCF_000657155	NZ_KK325313
GCF_000657155	NZ_KK325318
GCF_000657155	NZ_KK325320
GCF_000657155	NZ_KK325321
GCF_000657155	NZ_KK325322
GCF_000657155	NZ_KK325323
GCF_000657155	NZ_KK325327
GCF_000657155	NZ_KK325331
GCF_000657155	NZ_KK325334
GCF_000657155	NZ_KK325335
GCF_000657155	NZ_KK325336
GCF_000657155	NZ_KK325337
GCF_000657155	NZ_KK325338
GCF_000657155	NZ_KK325340
GCF_000657155	NZ_KK325342
GCF_000657155	NZ_KK325344
GCF_000657155	NZ_KK325345
GCF_000657155	NZ_KK325346
GCF_000657155	NZ_KK325348
GCF_000657155	NZ_KK325350
GCF_000657155	NZ_KK325351
GCF_000657155	NZ_KK325352
GCF_000657155	NZ_KK325358
GCF_000657155	NZ_KK325359
GCF_000657155	NZ_KK325363
GCF_000657155	NZ_KK325364
GCF_000657155	NZ_KK325365
GCF_000657155	NZ_KK325366
GCF_000657155	NZ_KK325368
GCF_000657155	NZ_KK325369
GCF_000657155	NZ_KK325371
GCF_000657155	NZ_KK325372
GCF_000657155	NZ_KK325373
GCF_000657175	NZ_KK325375
GCF_000657175	NZ_KK325376
GCF_000657175	NZ_KK325377
GCF_000657175	NZ_KK325378
GCF_000657175	NZ_KK325380
GCF_000657175	NZ_KK325381
GCF_000657175	NZ_KK325382
GCF_000657175	NZ_KK325383
GCF_000657175	NZ_KK325384
GCF_000657175	NZ_KK325385
GCF_000657175	NZ_KK325386
GCF_000657175	NZ_KK325388
GCF_000657175	NZ_KK325389
GCF_000657175	NZ_KK325390
GCF_000657175	NZ_KK325392
GCF_000657175	NZ_KK325394
GCF_000657175	NZ_KK325396
GCF_000657175	NZ_KK325397
GCF_000657175	NZ_KK325399
GCF_000657175	NZ_KK325401
GCF_000657175	NZ_KK325404
GCF_000657175	NZ_KK325405
GCF_000657175	NZ_KK325406
GCF_000657175	NZ_KK325408
GCF_000657175	NZ_KK325412
GCF_000657175	NZ_KK325417
GCF_000657175	NZ_KK325418
GCF_000657175	NZ_KK325420
GCF_000657175	NZ_KK325421
GCF_000657175	NZ_KK325422
GCF_000657175	NZ_KK325424
GCF_000657175	NZ_KK325427
GCF_000657175	NZ_KK325428
GCF_000657175	NZ_KK325430
GCF_000657175	NZ_KK325431
GCF_000657175	NZ_KK325435
GCF_000657175	NZ_KK325436
GCF_000657175	NZ_KK325441
GCF_000657175	NZ_KK325446
GCF_000657175	NZ_KK325447
GCF_000657175	NZ_KK325448
GCF_000657175	NZ_KK325451
GCF_000657175	NZ_KK325453
GCF_000657175	NZ_KK325454
GCF_000657175	NZ_KK325455
GCF_000657175	NZ_KK325456
GCF_000657175	NZ_KK325457
GCF_000657195	NZ_KK325459
GCF_000657195	NZ_KK325460
GCF_000657195	NZ_KK325461
GCF_000657195	NZ_KK325462
GCF_000657195	NZ_KK325463
GCF_000657195	NZ_KK325465
GCF_000657195	NZ_KK325466
GCF_000657195	NZ_KK325467
GCF_000657195	NZ_KK325469
GCF_000657195	NZ_KK325470
GCF_000657195	NZ_KK325471
GCF_000657195	NZ_KK325473
GCF_000657195	NZ_KK325474
GCF_000657195	NZ_KK325476
GCF_000657195	NZ_KK325478
GCF_000657195	NZ_KK325479
GCF_000657195	NZ_KK325480
GCF_000657195	NZ_KK325482
GCF_000657195	NZ_KK325486
GCF_000657195	NZ_KK325487
GCF_000657195	NZ_KK325488
GCF_000657195	NZ_KK325498
GCF_000657195	NZ_KK325499
GCF_000657195	NZ_KK325500
GCF_000657195	NZ_KK325507
GCF_000657195	NZ_KK325508
GCF_000657195	NZ_KK325509
GCF_000657195	NZ_KK325514
GCF_000657195	NZ_KK325515
GCF_000657195	NZ_KK325516
GCF_000657215	NZ_KK325522
GCF_000657215	NZ_KK325523
GCF_000657215	NZ_KK325524
GCF_000657215	NZ_KK325526
GCF_000657215	NZ_KK325527
GCF_000657215	NZ_KK325528
GCF_000657215	NZ_KK325529
GCF_000657215	NZ_KK325530
GCF_000657215	NZ_KK325531
GCF_000657215	NZ_KK325532
GCF_000657215	NZ_KK325535
GCF_000657215	NZ_KK325536
GCF_000657215	NZ_KK325542
GCF_000657215	NZ_KK325543
GCF_000657215	NZ_KK325545
GCF_000657215	NZ_KK325546
GCF_000657215	NZ_KK325550
GCF_000657215	NZ_KK325552
GCF_000657215	NZ_KK325555
GCF_000657215	NZ_KK325556
GCF_000657215	NZ_KK325557
GCF_000657215	NZ_KK325558
GCF_000657215	NZ_KK325559
GCF_000657215	NZ_KK325561
GCF_000657215	NZ_KK325562
GCF_000657215	NZ_KK325563
GCF_000657215	NZ_KK325569
GCF_000657215	NZ_KK325571
GCF_000657215	NZ_KK325573
GCF_000657215	NZ_KK325574
GCF_000657215	NZ_KK325578
GCF_000657215	NZ_KK325579
GCF_000657215	NZ_KK325581
GCF_000657215	NZ_KK325582
GCF_000657215	NZ_KK325587
GCF_000657215	NZ_KK325588
GCF_000657215	NZ_KK325589
GCF_000657215	NZ_KK325592
GCF_000657215	NZ_KK325600
GCF_000657215	NZ_KK325602
GCF_000657215	NZ_KK325603
GCF_000657215	NZ_KK325608
GCF_000657215	NZ_KK325610
GCF_000657215	NZ_KK325611
GCF_000657235	NZ_KK325612
GCF_000657235	NZ_KK325613
GCF_000657235	NZ_KK325614
GCF_000657235	NZ_KK325615
GCF_000657235	NZ_KK325618
GCF_000657235	NZ_KK325619
GCF_000657235	NZ_KK325620
GCF_000657235	NZ_KK325621
GCF_000657235	NZ_KK325622
GCF_000657235	NZ_KK325623
GCF_000657235	NZ_KK325624
GCF_000657235	NZ_KK325627
GCF_000657235	NZ_KK325628
GCF_000657235	NZ_KK325633
GCF_000657235	NZ_KK325635
GCF_000657235	NZ_KK325637
GCF_000657235	NZ_KK325638
GCF_000657235	NZ_KK325639
GCF_000657235	NZ_KK325641
GCF_000657235	NZ_KK325642
GCF_000657235	NZ_KK325644
GCF_000657235	NZ_KK325647
GCF_000657235	NZ_KK325650
GCF_000657235	NZ_KK325652
GCF_000657235	NZ_KK325654
GCF_000657235	NZ_KK325657
GCF_000657235	NZ_KK325666
GCF_000657235	NZ_KK325668
GCF_000657235	NZ_KK325671
GCF_000657235	NZ_KK325674
GCF_000657235	NZ_KK325677
GCF_000657235	NZ_KK325679
GCF_000657235	NZ_KK325688
GCF_000657235	NZ_KK325691
GCF_000657235	NZ_KK325692
GCF_000657235	NZ_KK325702
GCF_000657235	NZ_KK325703
GCF_000657235	NZ_KK325704
GCF_000657235	NZ_KK325707
GCF_000657235	NZ_KK325709
GCF_000657235	NZ_KK325712
GCF_000657235	NZ_KK325720
GCF_000657235	NZ_KK325721
GCF_000657235	NZ_KK325722
GCF_000657235	NZ_KK325725
GCF_000657235	NZ_KK325726
GCF_000657235	NZ_KK325727
GCF_000657235	NZ_KK325737
GCF_000657235	NZ_KK325749
GCF_000657235	NZ_KK325752
GCF_000657235	NZ_KK325753
GCF_000657235	NZ_KK325754
GCF_000657235	NZ_KK325756
GCF_000657235	NZ_KK325760
GCF_000657235	NZ_KK325763
GCF_000657235	NZ_KK325769
GCF_000657235	NZ_KK325770
GCF_000657235	NZ_KK325771
GCF_000657235	NZ_KK325775
GCF_000657255	NZ_KK325778
GCF_000657255	NZ_KK325779
GCF_000657255	NZ_KK325780
GCF_000657255	NZ_KK325781
GCF_000657255	NZ_KK325783
GCF_000657255	NZ_KK325784
GCF_000657255	NZ_KK325785
GCF_000657255	NZ_KK325786
GCF_000657255	NZ_KK325788
GCF_000657255	NZ_KK325790
GCF_000657255	NZ_KK325792
GCF_000657255	NZ_KK325794
GCF_000657255	NZ_KK325796
GCF_000657255	NZ_KK325797
GCF_000657255	NZ_KK325799
GCF_000657255	NZ_KK325800
GCF_000657255	NZ_KK325801
GCF_000657255	NZ_KK325804
GCF_000657255	NZ_KK325807
GCF_000657255	NZ_KK325809
GCF_000657255	NZ_KK325811
GCF_000657255	NZ_KK325813
GCF_000657255	NZ_KK325815
GCF_000657255	NZ_KK325819
GCF_000657255	NZ_KK325820
GCF_000657255	NZ_KK325822
GCF_000657255	NZ_KK325823
GCF_000657255	NZ_KK325824
GCF_000657255	NZ_KK325825
GCF_000657255	NZ_KK325828
